":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"1717","2031","FRIENDSHIP CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRIENDSHIP","ALLEGANY","ELEMENTARY","POINT (-78.137 42.2066)",,,,,"021601","19","0.173","28","0.255","47","0.427","WESTERN NEW YORK","2010-2012","NY","46 W MAIN ST","14739"
"1717","2031","FRIENDSHIP CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRIENDSHIP","ALLEGANY","MIDDLE/HIGH","POINT (-78.137 42.2066)",,,,,"021601","11","0.212","5","0.096","16","0.308","WESTERN NEW YORK","2010-2012","NY","46 W MAIN ST","14739"
"1713","2031","FILLMORE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FILLMORE","ALLEGANY","DISTRICT TOTAL","POINT (-78.1188 42.4662)",,,,,"022001","10","0.013","90","0.12","100","0.134","WESTERN NEW YORK","2010-2012","NY","104 MAIN ST","14735"
"1713","2031","FILLMORE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FILLMORE","ALLEGANY","ELEMENTARY","POINT (-78.1188 42.4662)",,,,,"022001","5","0.016","53","0.174","58","0.191","WESTERN NEW YORK","2010-2012","NY","104 MAIN ST","14735"
"1713","2031","FILLMORE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FILLMORE","ALLEGANY","MIDDLE/HIGH","POINT (-78.1188 42.4662)",,,,,"022001",,,"12","0.059","12","0.059","WESTERN NEW YORK","2010-2012","NY","104 MAIN ST","14735"
"924","2031","WHITESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WHITESVILLE","ALLEGANY","DISTRICT TOTAL","POINT (-77.7786 42.038)",,,,,"022101","21","0.259","5","0.062","26","0.321","WESTERN NEW YORK","2010-2012","NY","692 MAIN ST","14897"
"924","2031","WHITESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WHITESVILLE","ALLEGANY","ELEMENTARY","POINT (-77.7786 42.038)",,,,,"022101","8","0.222",,,"8","0.222","WESTERN NEW YORK","2010-2012","NY","692 MAIN ST","14897"
"924","2031","WHITESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WHITESVILLE","ALLEGANY","MIDDLE/HIGH","POINT (-77.7786 42.038)",,,,,"022101","5","0.25",,,"5","0.25","WESTERN NEW YORK","2010-2012","NY","692 MAIN ST","14897"
"1707","2031","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CUBA","ALLEGANY","DISTRICT TOTAL","POINT (-78.2748 42.2385)",,,,,"022302","69","0.225","58","0.19","127","0.415","WESTERN NEW YORK","2010-2012","NY","5476 RT 305","14727"
"1707","2031","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CUBA","ALLEGANY","ELEMENTARY","POINT (-78.2748 42.2385)",,,,,"022302","35","0.208","27","0.161","62","0.369","WESTERN NEW YORK","2010-2012","NY","5476 RT 305","14727"
"1707","2031","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CUBA","ALLEGANY","MIDDLE/HIGH","POINT (-78.2748 42.2385)",,,,,"022302","34","0.264","22","0.171","56","0.434","WESTERN NEW YORK","2010-2012","NY","5476 RT 305","14727"
"911","2031","SCIO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SCIO","ALLEGANY","DISTRICT TOTAL","POINT (-77.9777 42.1728)",,,,,"022401","35","0.292","22","0.183","57","0.475","WESTERN NEW YORK","2010-2012","NY","3968 WASHINGTON ST","14880"
"911","2031","SCIO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SCIO","ALLEGANY","ELEMENTARY","POINT (-77.9777 42.1728)",,,,,"022401","18","0.257","11","0.157","29","0.414","WESTERN NEW YORK","2010-2012","NY","3968 WASHINGTON ST","14880"
"911","2031","SCIO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SCIO","ALLEGANY","MIDDLE/HIGH","POINT (-77.9777 42.1728)",,,,,"022401","17","0.395","11","0.256","28","0.651","WESTERN NEW YORK","2010-2012","NY","3968 WASHINGTON ST","14880"
"923","2031","WELLSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WELLSVILLE","ALLEGANY","DISTRICT TOTAL","POINT (-77.9487 42.1184)",,,,,"022601","108","0.229","80","0.169","188","0.398","WESTERN NEW YORK","2010-2012","NY","126 WEST STATE ST","14895"
"923","2031","WELLSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WELLSVILLE","ALLEGANY","ELEMENTARY","POINT (-77.9487 42.1184)",,,,,"022601","57","0.208","39","0.142","96","0.35","WESTERN NEW YORK","2010-2012","NY","126 WEST STATE ST","14895"
"923","2031","WELLSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","WELLSVILLE","ALLEGANY","MIDDLE/HIGH","POINT (-77.9487 42.1184)",,,,,"022601","51","0.266","41","0.214","92","0.479","WESTERN NEW YORK","2010-2012","NY","126 WEST STATE ST","14895"
"1696","2031","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BOLIVAR","ALLEGANY","DISTRICT TOTAL","POINT (-78.161 42.0654)",,,,,"022902","59","0.184","46","0.143","105","0.327","WESTERN NEW YORK","2010-2012","NY","100 SCHOOL ST","14715"
"1696","2031","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BOLIVAR","ALLEGANY","ELEMENTARY","POINT (-78.161 42.0654)",,,,,"022902","9","0.049","27","0.147","36","0.196","WESTERN NEW YORK","2010-2012","NY","100 SCHOOL ST","14715"
"1696","2031","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BOLIVAR","ALLEGANY","MIDDLE/HIGH","POINT (-78.161 42.0654)",,,,,"022902","29","0.246","19","0.161","48","0.407","WESTERN NEW YORK","2010-2012","NY","100 SCHOOL ST","14715"
"475","2033","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","DISTRICT TOTAL","POINT (-75.8535 42.1925)",,,,,"030101","82","0.159","94","0.183","176","0.342","NEW YORK - PENN","2010-2012","NY","1 GORDON DR","13901"
"475","2033","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","ELEMENTARY","POINT (-75.8535 42.1925)",,,,,"030101","44","0.142","55","0.178","99","0.32","NEW YORK - PENN","2010-2012","NY","1 GORDON DR","13901"
"475","2033","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","MIDDLE/HIGH","POINT (-75.8535 42.1925)",,,,,"030101","38","0.193","39","0.198","77","0.391","NEW YORK - PENN","2010-2012","NY","1 GORDON DR","13901"
"475","2033","BINGHAMTON CITY SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","DISTRICT TOTAL","POINT (-75.9044 42.0989)",,,,,"030200","475","0.212","384","0.172","859","0.384","NEW YORK - PENN","2010-2012","NY","164 HAWLEY ST","13901"
"475","2033","BINGHAMTON CITY SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","ELEMENTARY","POINT (-75.9044 42.0989)",,,,,"030200","268","0.191","244","0.174","512","0.364","NEW YORK - PENN","2010-2012","NY","164 HAWLEY ST","13901"
"475","2033","BINGHAMTON CITY SCHOOL DISTRICT","SCHOOL DISTRICT","BINGHAMTON","BROOME","MIDDLE/HIGH","POINT (-75.9044 42.0989)",,,,,"030200","207","0.249","140","0.168","347","0.418","NEW YORK - PENN","2010-2012","NY","164 HAWLEY ST","13901"
"399","2033","HARPURSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HARPURSVILLE","BROOME","DISTRICT TOTAL","POINT (-75.6229 42.1817)",,,,,"030501","76","0.201","56","0.148","132","0.348","NEW YORK - PENN","2010-2012","NY","54 MAIN ST","13787"
"399","2033","HARPURSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HARPURSVILLE","BROOME","ELEMENTARY","POINT (-75.6229 42.1817)",,,,,"030501","48","0.189","38","0.15","86","0.339","NEW YORK - PENN","2010-2012","NY","54 MAIN ST","13787"
"399","2033","HARPURSVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","HARPURSVILLE","BROOME","MIDDLE/HIGH","POINT (-75.6229 42.1817)",,,,,"030501","28","0.224","18","0.144","46","0.368","NEW YORK - PENN","2010-2012","NY","54 MAIN ST","13787"
"379","2033","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CONKLIN","BROOME","DISTRICT TOTAL","POINT (-75.8235 42.0782)",,,,,"030601","126","0.223","101","0.179","227","0.402","NEW YORK - PENN","2010-2012","NY","1040 CONKLIN RD","13748"
"379","2033","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CONKLIN","BROOME","ELEMENTARY","POINT (-75.8235 42.0782)",,,,,"030601","61","0.196","63","0.202","124","0.397","NEW YORK - PENN","2010-2012","NY","1040 CONKLIN RD","13748"
